name,airport_code
Osvaldo Vieira International Airport,OXB
Ottawa Macdonald-Cartier International Airport,YOW
Ouagadougou Airport,OUA
Oued Irara Airport,HME
Oulu Airport,OUL
Ovda International Airport,VDA
Owen Roberts International Airport,GCM
Paine Field,PAE
Pakse International Airport,PKZ
Pakyong Airport,PAS
Palanga International Airport,PLQ
Palermo Airport,PMO
Palese Airport,BRI
Palm Beach International Airport,PBI
Palm Springs International Airport,PSP
Palma de Mallorca Airport,PMI
Palonegro International Airport,BGA
Panglao Island International Airport,TAG
Paphos International Airport,PFO
Pardubice Airport,PED
Paro Airport,PBH
Pashkovsky Airport,KRR
Pattimura Airport,AMQ
Pecs-Pogany International Airport,QPJ
Pemba Airport,POL
Penang International Airport,PEN
Peretola Airport,FLR
Perm International Airport,PEE
Perth Airport,PER
Petrozavodsk Airport,PES
Philadelphia International Airport,PHL
Philip S. W. Goldson International Airport,BZE
Phnom Penh International Airport,PNH
Phoenix Sky Harbor International Airport,PHX
Phu Bai International Airport,HUI
Phu Quoc International Airport,PQC
Phuket International Airport,HKT
Piarco International Airport,POS
Piestany Airport,PZY
